"PID","CHOSEN","GENDER","AGE","WORK","GRAD","DIET","STUDENT","MARRIED","DELIV","FACEBOOK","TWITTER","INSTA","INCOME","KIDS","ALONE","REGION","DENSIT","FREQ","SNOB","PRICE_STA","KNOWN_STA","TASTE_STA","AMB_STA","SPEED_STA","MENU_STA","APP_STA","ADV_STA","PRICE_DUN","KNOWN_DUN","TASTE_DUN","AMB_DUN","SPEED_DUN","MENU_DUN","APP_DUN","ADV_DUN","PRICE_PEET","KNOWN_PEET","TASTE_PEET","AMB_PEET","SPEED_PEET","MENU_PEET","APP_PEET","ADV_PEET","PRICE_CAR","KNOWN_CAR","TASTE_CAR","AMB_CAR","SPEED_CAR","MENU_CAR","APP_CAR","ADV_CAR","UNO"
1,4,1,58,1,2,4,1,2,2,1,1,2,1,1,2,3,2,1,4,5.44,1,4,4,1,3,4,3,3.5,1,1,5,3,2,5,4,4.91,1,2,4,1,4,3,5,3.99,1,5,4,5,4,2,2,1
2,2,2,59,1,3,1,1,1,1,1,2,1,1,1,2,4,2,1,3,5.83,1,2,5,3,3,1,4,2.63,1,1,5,3,4,2,3,4.63,1,5,5,3,5,5,3,4.38,1,4,4,4,5,5,3,1
3,1,1,41,2,2,1,1,1,1,2,1,1,2,1,1,3,3,1,1,5,1,4,4,3,4,1,4,2.27,1,3,5,5,4,3,2,4.96,1,5,2,4,3,1,5,4.1,2,4,3,3,2,4,3,1
4,2,2,54,1,2,1,1,1,2,1,2,1,2,2,2,3,2,1,1,5.84,1,4,4,4,2,2,4,2.35,1,4,4,1,5,4,3,4.47,1,1,5,5,5,3,3,3.67,2,1,5,3,3,4,3,1
5,2,2,28,1,2,1,1,1,1,2,1,1,2,2,2,3,2,1,2,5.9,2,1,5,5,5,5,4,3.33,1,3,1,4,5,2,3,5.05,1,4,4,3,3,3,4,4.21,1,2,4,3,3,2,3,1
6,1,1,49,1,1,4,1,1,2,2,1,2,1,2,1,2,3,2,2,6.4,1,5,4,5,1,2,4,2.92,1,2,3,4,5,2,3,4.87,1,3,5,2,4,4,3,4.42,1,3,3,4,4,4,3,1
7,1,1,33,1,1,1,1,2,2,2,2,2,1,1,2,4,2,2,4,4.66,2,3,4,3,5,3,2,2.83,1,4,1,1,3,4,3,5.5,2,3,5,4,3,3,2,4.47,2,4,4,5,3,3,3,1
8,2,2,63,3,3,1,1,2,2,1,1,1,2,1,1,2,1,2,2,5.2,1,3,3,4,2,5,5,2.2,1,3,1,3,4,1,3,5.31,1,1,4,3,4,3,4,5.56,2,3,4,4,4,3,1,1
9,2,2,44,2,1,1,1,1,1,1,1,1,3,1,1,2,3,1,2,5.44,1,4,2,5,3,5,4,2.77,1,4,4,3,4,5,3,5.04,1,4,4,4,2,5,5,4.4,1,4,3,4,4,4,3,1
10,2,1,45,2,2,4,1,2,1,1,2,1,2,1,2,2,2,1,1,4.7,1,4,4,2,3,4,3,2.98,1,5,5,5,5,3,4,5.16,2,3,3,3,4,3,1,5.08,1,3,5,4,3,4,3,1
11,2,2,74,2,1,2,1,1,1,2,1,1,2,2,2,1,3,1,4,4.54,1,2,3,4,4,4,1,3.05,1,5,4,3,5,3,3,5,2,3,5,4,1,5,3,5.09,1,4,4,3,3,3,3,1
12,1,1,48,1,2,1,1,2,2,2,2,1,2,2,2,1,1,1,2,6.41,1,4,4,2,4,4,3,3.47,2,4,4,2,4,3,3,5.54,2,4,1,3,2,3,4,5.15,2,4,1,1,3,3,4,1
13,4,2,31,2,1,1,1,1,2,1,2,2,2,1,2,3,1,2,2,5.7,1,2,1,3,3,3,5,3.71,1,2,1,2,2,1,5,4.98,2,2,4,2,2,4,2,4.44,1,4,4,3,3,4,3,1
14,3,2,30,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,5.87,1,4,5,5,3,4,4,3.19,1,4,4,5,4,4,4,3.86,1,5,4,4,4,5,3,4.24,2,2,4,4,2,5,3,1
15,1,1,64,2,1,1,1,1,2,2,1,2,3,1,1,3,3,2,1,4.51,1,5,5,3,4,2,3,3.84,2,4,4,5,4,4,1,4.76,1,3,2,4,2,5,2,4.41,1,5,4,2,3,2,2,1
16,2,2,31,1,1,1,1,2,2,1,2,2,2,2,2,2,3,1,3,6.32,1,3,4,2,5,3,1,2.41,1,4,4,4,3,3,4,5.75,1,4,5,5,3,4,4,5.06,1,5,4,3,4,2,3,1
17,2,1,56,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,3,5.56,1,4,4,3,5,3,3,3.28,1,5,4,5,4,5,3,5.11,1,3,4,3,3,4,1,4.48,1,4,5,5,3,3,2,1
18,2,1,48,1,1,2,1,2,1,2,2,1,3,1,1,3,3,1,4,6.59,1,4,4,4,2,3,3,3.26,2,4,3,5,4,5,5,5.1,2,3,5,1,5,3,1,4.03,2,4,5,3,4,3,4,1
19,2,1,27,1,2,1,1,2,2,1,1,2,2,2,2,4,2,2,2,5.86,1,3,5,5,5,3,3,2.58,1,4,5,4,3,1,2,4.57,1,4,5,2,4,3,3,4.87,1,2,3,2,3,3,4,1
20,2,2,46,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,3,6.36,2,4,4,3,4,2,2,2.18,1,5,1,4,4,1,5,4.94,1,5,1,3,3,4,3,3.92,2,3,1,2,5,3,3,1
21,2,2,45,2,2,1,1,2,1,1,1,1,2,1,2,3,1,2,2,5.52,1,3,3,2,4,3,4,3.55,1,4,2,3,3,4,3,5.95,1,4,3,1,3,3,4,4.56,2,5,4,4,4,2,2,1
22,2,2,26,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,5.16,1,4,4,3,3,4,2,2.58,1,4,4,5,4,3,4,5.63,1,2,3,4,2,3,3,4.23,1,2,4,4,4,3,2,1
23,2,2,30,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,4.83,1,5,3,3,3,3,4,2.18,1,3,5,2,5,2,2,5.21,1,3,2,1,4,4,4,4.21,1,3,4,1,4,4,4,1
24,4,2,31,1,1,4,1,2,1,1,1,1,1,2,2,1,3,2,2,5.04,1,3,4,5,3,2,3,4.15,1,4,4,1,3,5,3,4.94,1,4,4,1,3,2,3,4.35,1,3,4,3,4,3,3,1
25,1,2,65,1,2,1,1,3,1,1,2,1,3,2,2,1,3,1,2,5.12,2,5,5,4,3,3,2,3.3,1,4,2,4,3,4,3,4.3,1,5,5,2,4,3,4,3.43,2,3,5,3,4,4,3,1
26,2,2,22,1,2,1,3,1,2,1,1,1,2,2,1,3,1,2,2,6.73,1,3,4,3,4,4,1,1.73,1,3,3,5,3,5,5,5.16,1,4,4,4,4,3,2,4.99,1,4,4,3,2,3,2,1
27,2,1,43,1,2,1,1,2,2,1,1,1,1,1,2,4,2,1,1,4.85,1,3,3,3,3,4,1,2.8,1,3,4,4,4,1,5,5.73,1,3,4,2,3,5,5,5.25,1,3,4,2,4,3,1,1
28,4,2,30,1,1,4,1,2,1,1,1,2,2,2,2,2,1,1,2,5.26,2,4,3,1,3,3,1,2.91,1,2,5,4,4,3,3,4.4,1,4,2,5,3,3,1,4.66,1,5,4,5,4,5,1,1
29,1,1,31,2,3,1,1,2,2,1,2,2,1,1,2,4,1,1,3,5.88,1,4,2,1,3,4,3,3.05,1,3,5,4,2,5,3,4.99,1,2,4,4,4,5,5,5.5,1,4,4,3,5,4,2,1
30,1,1,25,1,3,3,1,1,1,1,2,2,3,2,2,1,1,1,2,5.63,2,5,5,1,4,4,4,3.07,1,3,2,4,3,1,3,4.51,1,4,3,3,5,5,3,3.43,2,2,3,3,1,3,5,1
31,2,2,24,1,2,1,2,3,1,1,2,2,1,2,2,1,1,1,1,5.44,1,4,5,1,3,3,3,3.32,1,5,3,2,3,5,3,5.36,2,3,3,2,4,5,5,5.5,1,3,3,3,4,3,3,1
